Criminal,Air pollution,number of rooms,school level,house price
0.632,5.380,6.575,15.300,24.000
2.731,4.690,6.421,17.800,21.600
2.729,4.690,7.185,17.800,34.700
3.237,4.580,6.998,18.700,33.400
6.905,4.580,7.147,18.700,36.200
2.985,4.580,6.430,18.700,28.700
8.829,5.240,6.012,15.200,22.900
14.455,5.240,6.172,15.200,27.100
21.124,5.240,5.631,15.200,16.500
17.004,5.240,6.004,15.200,18.900
22.489,5.240,6.377,15.200,15.000
11.747,5.240,6.009,15.200,18.900
9.378,5.240,5.889,15.200,21.700
62.976,5.380,5.949,21.000,20.400
63.796,5.380,6.096,21.000,18.200
62.739,5.380,5.834,21.000,19.900
105.393,5.380,5.935,21.000,23.100
78.420,5.380,5.990,21.000,17.500
80.271,5.380,5.456,21.000,20.200
72.580,5.380,5.727,21.000,18.200
125.179,5.380,5.570,21.000,13.600
85.204,5.380,5.965,21.000,19.600
123.247,5.380,6.142,21.000,15.200
98.843,5.380,5.813,21.000,14.500
75.026,5.380,5.924,21.000,15.600
84.054,5.380,5.599,21.000,13.900
67.191,5.380,5.813,21.000,16.600
95.577,5.380,6.047,21.000,14.800
77.299,5.380,6.495,21.000,18.400
100.245,5.380,6.674,21.000,21.000
113.081,5.380,5.713,21.000,12.700
135.472,5.380,6.072,21.000,14.500
138.799,5.380,5.950,21.000,13.200
115.172,5.380,5.701,21.000,13.100
161.282,5.380,6.096,21.000,13.500
6.417,4.990,5.933,19.200,18.900
9.744,4.990,5.841,19.200,20.000
8.014,4.990,5.850,19.200,21.000
17.505,4.990,5.966,19.200,24.700
2.763,4.280,6.595,18.300,30.800
3.359,4.280,7.024,18.300,34.900
12.744,4.480,6.770,17.900,26.600
14.150,4.480,6.169,17.900,25.300
15.936,4.480,6.211,17.900,24.700
12.269,4.480,6.069,17.900,21.200
17.142,4.480,5.682,17.900,19.300
18.836,4.480,5.786,17.900,20.000
22.927,4.480,6.030,17.900,16.600
25.387,4.480,5.399,17.900,14.400
21.977,4.480,5.602,17.900,19.400
8.873,4.390,5.963,16.800,19.700
4.337,4.390,6.115,16.800,20.500
5.360,4.390,6.511,16.800,25.000
4.981,4.390,5.998,16.800,23.400
1.360,4.100,5.888,21.100,18.900
1.311,4.030,7.249,17.900,35.400
2.055,4.100,6.383,17.300,24.700
1.432,4.110,6.816,15.100,31.600
15.445,4.530,6.145,19.700,23.300
10.328,4.530,5.927,19.700,19.600
14.932,4.530,5.741,19.700,18.700
17.171,4.530,5.966,19.700,16.000
11.027,4.530,6.456,19.700,22.200
12.650,4.530,6.762,19.700,25.000
1.951,4.161,7.104,18.600,33.000
3.584,3.980,6.290,16.100,23.500
4.379,3.980,5.787,16.100,19.400
5.789,4.090,5.878,18.900,22.000
13.554,4.090,5.594,18.900,17.400
12.816,4.090,5.885,18.900,20.900
8.826,4.130,6.417,19.200,24.200
15.876,4.130,5.961,19.200,21.700
9.164,4.130,6.065,19.200,22.800
19.539,4.130,6.245,19.200,23.400
7.896,4.370,6.273,18.700,24.100
9.512,4.370,6.286,18.700,21.400
10.153,4.370,6.279,18.700,20.000
8.707,4.370,6.140,18.700,20.800
5.646,4.370,6.232,18.700,21.200
8.387,4.370,5.874,18.700,20.300
4.113,4.260,6.727,19.000,28.000
4.462,4.260,6.619,19.000,23.900
3.659,4.260,6.302,19.000,24.800
3.551,4.260,6.167,19.000,22.900
5.059,4.490,6.389,18.500,23.900
5.735,4.490,6.630,18.500,26.600
5.188,4.490,6.015,18.500,22.500
7.151,4.490,6.121,18.500,22.200
5.660,4.890,7.007,17.800,23.600
5.302,4.890,7.079,17.800,28.700
4.684,4.890,6.417,17.800,22.600
3.932,4.890,6.405,17.800,22.000
4.203,4.640,6.442,18.200,22.900
2.875,4.640,6.211,18.200,25.000
4.294,4.640,6.249,18.200,20.600
12.204,4.450,6.625,18.000,28.400
11.504,4.450,6.163,18.000,21.400
12.083,4.450,8.069,18.000,38.700
8.187,4.450,7.820,18.000,43.800
6.860,4.450,7.416,18.000,33.200
14.866,5.200,6.727,20.900,27.500
11.432,5.200,6.781,20.900,26.500
22.876,5.200,6.405,20.900,18.600
21.161,5.200,6.137,20.900,19.300
13.960,5.200,6.167,20.900,20.100
13.262,5.200,5.851,20.900,19.500
17.120,5.200,5.836,20.900,19.500
13.117,5.200,6.127,20.900,20.400
12.802,5.200,6.474,20.900,19.800
26.363,5.200,6.229,20.900,19.400
10.793,5.200,6.195,20.900,21.700
10.084,5.470,6.715,17.800,22.800
12.329,5.470,5.913,17.800,18.800
22.212,5.470,6.092,17.800,18.700
14.231,5.470,6.254,17.800,18.500
17.134,5.470,5.928,17.800,18.300
13.158,5.470,6.176,17.800,21.200
15.098,5.470,6.021,17.800,19.200
13.058,5.470,5.872,17.800,20.400
14.476,5.470,5.731,17.800,19.300
6.899,5.810,5.870,19.100,22.000
7.165,5.810,6.004,19.100,20.300
9.299,5.810,5.961,19.100,20.500
15.038,5.810,5.856,19.100,17.300
9.849,5.810,5.879,19.100,18.800
16.902,5.810,5.986,19.100,21.400
38.735,5.810,5.613,19.100,15.700
25.915,6.240,5.693,21.200,16.200
32.543,6.240,6.431,21.200,18.000
88.125,6.240,5.637,21.200,14.300
34.006,6.240,6.458,21.200,19.200
119.294,6.240,6.326,21.200,19.600
59.005,6.240,6.372,21.200,23.000
32.982,6.240,5.822,21.200,18.400
97.617,6.240,5.757,21.200,15.600
55.778,6.240,6.335,21.200,18.100
32.264,6.240,5.942,21.200,17.400
35.233,6.240,6.454,21.200,17.100
24.980,6.240,5.857,21.200,13.300
54.452,6.240,6.151,21.200,17.800
29.090,6.240,6.174,21.200,14.000
162.864,6.240,5.019,21.200,14.400
332.105,8.710,5.403,14.700,13.400
409.740,8.710,5.468,14.700,15.600
277.974,8.710,4.903,14.700,11.800
237.934,8.710,6.130,14.700,13.800
215.505,8.710,5.628,14.700,15.600
236.862,8.710,4.926,14.700,14.600
233.099,8.710,5.186,14.700,17.800
273.397,8.710,5.597,14.700,15.400
165.660,8.710,6.122,14.700,21.500
149.632,8.710,5.404,14.700,19.600
112.658,8.710,5.012,14.700,15.300
214.918,8.710,5.709,14.700,19.400
141.385,8.710,6.129,14.700,17.000
353.501,8.710,6.152,14.700,15.600
244.668,8.710,5.272,14.700,13.100
122.358,6.050,6.943,14.700,41.300
134.284,6.050,6.066,14.700,24.300
142.502,8.710,6.510,14.700,23.300
127.346,6.050,6.250,14.700,27.000
