image,x,y
sun_reg_1.png,133,164
sun_reg_2.png,76,132
sun_reg_3.png,78,112
sun_reg_4.png,156,220
sun_reg_5.png,196,129
sun_reg_6.png,75,87
sun_reg_7.png,190,132
sun_reg_8.png,57,222
sun_reg_9.png,208,103
sun_reg_10.png,84,82
sun_reg_11.png,189,75
sun_reg_12.png,175,62
sun_reg_13.png,72,157
sun_reg_14.png,104,41
sun_reg_15.png,96,197
sun_reg_16.png,125,33
sun_reg_17.png,130,108
sun_reg_18.png,180,145
sun_reg_19.png,221,184
sun_reg_20.png,44,170
sun_reg_21.png,76,202
sun_reg_22.png,100,44
sun_reg_23.png,41,141
sun_reg_24.png,137,93
sun_reg_25.png,111,44
sun_reg_26.png,46,151
sun_reg_27.png,41,106
sun_reg_28.png,182,66
sun_reg_29.png,35,38
sun_reg_30.png,71,81
sun_reg_31.png,117,136
sun_reg_32.png,174,170
sun_reg_33.png,217,69
sun_reg_34.png,90,81
sun_reg_35.png,121,169
sun_reg_36.png,105,90
sun_reg_37.png,76,114
sun_reg_38.png,186,159
sun_reg_39.png,112,192
sun_reg_40.png,177,37
sun_reg_41.png,88,180
sun_reg_42.png,68,224
sun_reg_43.png,124,34
sun_reg_44.png,54,210
sun_reg_45.png,210,220
sun_reg_46.png,90,191
sun_reg_47.png,176,146
sun_reg_48.png,146,181
sun_reg_49.png,220,35
sun_reg_50.png,151,187
sun_reg_51.png,74,176
sun_reg_52.png,107,212
sun_reg_53.png,46,54
sun_reg_54.png,149,197
sun_reg_55.png,50,152
sun_reg_56.png,85,42
sun_reg_57.png,192,97
sun_reg_58.png,224,210
sun_reg_59.png,88,59
sun_reg_60.png,146,152
sun_reg_61.png,74,182
sun_reg_62.png,47,181
sun_reg_63.png,63,200
sun_reg_64.png,75,173
sun_reg_65.png,186,47
sun_reg_66.png,59,60
sun_reg_67.png,113,182
sun_reg_68.png,95,57
sun_reg_69.png,153,133
sun_reg_70.png,45,125
sun_reg_71.png,118,200
sun_reg_72.png,201,40
sun_reg_73.png,38,95
sun_reg_74.png,124,182
sun_reg_75.png,94,90
sun_reg_76.png,111,194
sun_reg_77.png,158,55
sun_reg_78.png,209,42
sun_reg_79.png,183,191
sun_reg_80.png,138,164
sun_reg_81.png,90,50
sun_reg_82.png,214,93
sun_reg_83.png,205,187
sun_reg_84.png,152,71
sun_reg_85.png,172,58
sun_reg_86.png,209,167
sun_reg_87.png,222,153
sun_reg_88.png,34,200
sun_reg_89.png,220,65
sun_reg_90.png,198,127
sun_reg_91.png,33,79
sun_reg_92.png,163,62
sun_reg_93.png,153,95
sun_reg_94.png,46,34
sun_reg_95.png,198,74
sun_reg_96.png,62,148
sun_reg_97.png,206,222
sun_reg_98.png,209,144
sun_reg_99.png,213,167
sun_reg_100.png,74,197
sun_reg_101.png,169,86
sun_reg_102.png,205,191
sun_reg_103.png,88,85
sun_reg_104.png,147,193
sun_reg_105.png,111,202
sun_reg_106.png,79,152
sun_reg_107.png,180,138
sun_reg_108.png,136,78
sun_reg_109.png,74,58
sun_reg_110.png,182,151
sun_reg_111.png,182,127
sun_reg_112.png,88,182
sun_reg_113.png,82,121
sun_reg_114.png,91,216
sun_reg_115.png,82,55
sun_reg_116.png,171,166
sun_reg_117.png,34,161
sun_reg_118.png,39,139
sun_reg_119.png,35,176
sun_reg_120.png,130,135
sun_reg_121.png,36,123
sun_reg_122.png,141,161
sun_reg_123.png,37,135
sun_reg_124.png,122,169
sun_reg_125.png,55,126
sun_reg_126.png,182,56
sun_reg_127.png,199,75
sun_reg_128.png,36,223
sun_reg_129.png,109,38
sun_reg_130.png,147,163
sun_reg_131.png,77,59
sun_reg_132.png,116,34
sun_reg_133.png,65,158
sun_reg_134.png,33,129
sun_reg_135.png,181,147
sun_reg_136.png,207,111
sun_reg_137.png,60,201
sun_reg_138.png,219,153
sun_reg_139.png,146,77
sun_reg_140.png,192,120
sun_reg_141.png,146,111
sun_reg_142.png,165,65
sun_reg_143.png,46,174
sun_reg_144.png,172,66
sun_reg_145.png,134,132
sun_reg_146.png,131,95
sun_reg_147.png,132,36
sun_reg_148.png,134,207
sun_reg_149.png,49,102
sun_reg_150.png,174,213
sun_reg_151.png,87,134
sun_reg_152.png,215,217
sun_reg_153.png,213,220
sun_reg_154.png,63,92
sun_reg_155.png,125,55
